,Lat,Lon,Base,Hour,KMEANS5_labels,AGGC_label,Day,KMEANS_label,DBSCAN_label
189,40.7568,-74.0318,3,0,2,0,2,4,0
190,40.7333,-74.0047,2,10,2,0,4,3,0
191,40.7176,-73.9993,1,17,2,0,0,3,0
192,40.7495,-73.9924,2,22,7,2,6,4,0
193,40.7207,-73.9871,2,20,2,0,1,1,0
194,40.699,-73.9923,2,17,2,0,6,0,0
195,40.7397,-73.927,2,17,1,2,5,5,0
196,40.7562,-73.9934,3,0,7,2,0,4,0
197,40.7275,-74.0073,1,11,2,0,1,3,0
198,40.741,-73.994,0,13,2,2,3,4,0
199,40.7787,-73.9615,2,13,1,2,0,2,0
200,40.7332,-73.9812,1,12,2,0,2,1,0
202,40.7268,-73.9834,1,15,2,0,5,1,0
203,40.6775,-74.0005,1,20,0,0,5,0,0
204,40.7483,-73.9959,2,6,7,2,4,4,0
205,40.7401,-73.9865,2,22,7,2,1,1,0
206,40.7606,-73.9761,3,18,7,2,4,7,0
207,40.7694,-73.982,3,18,7,2,4,7,0
208,40.7752,-73.9892,1,10,7,2,1,7,0
209,40.7528,-73.9814,2,20,7,2,3,7,0
210,40.7371,-73.9962,3,22,2,0,3,4,0
212,40.7556,-73.988,3,10,7,2,6,7,0
213,40.7351,-73.9837,3,15,2,0,5,1,0
214,40.7208,-73.9939,1,16,2,0,6,1,0
215,40.7541,-73.9784,3,0,7,2,1,7,0
216,40.7565,-73.9782,3,15,7,2,4,7,0
217,40.6767,-73.9635,2,21,0,0,3,0,0
218,40.7196,-74.0103,2,21,2,0,1,3,0
219,40.7402,-73.9895,1,16,2,2,4,4,0
220,40.7736,-73.9823,3,22,7,2,5,7,0
221,40.7593,-73.9722,2,23,7,2,3,7,0
222,40.7161,-74.0041,3,6,2,0,2,3,0
224,40.7313,-73.9756,2,7,2,0,3,1,0
225,40.7382,-74.0029,1,19,2,0,4,4,0
226,40.6946,-73.9502,2,17,0,0,3,5,0
227,40.6658,-73.9897,3,16,0,0,3,0,0
228,40.711,-74.0062,3,18,2,0,4,3,0
229,40.7197,-73.9847,3,17,2,0,6,1,0
230,40.6678,-73.9424,2,15,0,0,1,0,0
231,40.7281,-74.0075,0,20,2,0,6,3,0
232,40.7083,-73.914,1,23,0,0,6,5,0
